N,tl,alpha,mean
100,500,0.0,4.9
100,500,0.1,1.3
100,500,1.0,2.8
100,1000,0.0,3.7
100,1000,0.1,0.4
100,1000,1.0,1.0
100,1500,0.0,0.9
100,1500,0.1,1.1
100,1500,1.0,0.9
100,2000,0.0,5.1
100,2000,0.1,0.3
100,2000,1.0,0.5
