N,tl,alpha,mean
10,500,0.0,0.5
10,500,0.1,0.4
10,500,1.0,0.7
10,1000,0.0,0.3
10,1000,0.1,0.1
10,1000,1.0,2.7
10,1500,0.0,0.3
10,1500,0.1,0.4
10,1500,1.0,0.2
10,2000,0.0,0.2
10,2000,0.1,0.3
10,2000,1.0,0.4
