N,tl,alpha,mean
3,500,0.0,1.1
3,500,0.1,0.5
3,500,1.0,0.3
3,1000,0.0,0.2
3,1000,0.1,0.1
3,1000,1.0,0.2
3,1500,0.0,0.2
3,1500,0.1,0.0
3,1500,1.0,0.1
3,2000,0.0,0.1
3,2000,0.1,0.2
3,2000,1.0,0.3
